depth	dens	GR	Vp	Vs
891.25	2.5051	84.347	3935.8872	2146.2424
891.5	2.5295	82.3568	3907.2852	2126.0115
891.75	2.5216	87.6473	3887.3374	2092.9775
892	2.4874	90.7199	3868.6333	2060.8828
892.25	2.4822	89.0826	3842.2363	2053.0449
892.5	2.5411	91.403	3826.8633	2054.3511
892.75	2.5099	87.7322	3813.1274	2083.7747
893	2.4419	79.8763	3753.3684	2083.3984
893.25	2.482	86.1199	3731.8235	2024.9681
893.5	2.4406	77.2418	3656.2649	1964.9434
893.75	2.4197	64.5881	3533.322	1929.39
894	2.5265	73.8062	3494.6946	1926.7355
894.25	2.6032	77.8369	3483.8796	1903.4078
894.5	2.5874	71.985	3519.9409	1912.9303
894.75	2.5491	72.3157	3605.5449	1974.0524
895	2.4404	66.371	3587.4465	2020.7999
895.25	2.3978	61.9671	3558.1201	2059.3286
895.5	2.3961	57.0698	3512.9099	2077.4653
895.75	2.3207	45.2284	3404.6138	2064.6223
896	2.3098	42.1522	3271.124	2014.8009
896.25	2.2596	47.0429	3239.5918	1988.1252
896.5	1.9548	66.418	3200.2361	1947.8667
896.75	1.903	78.2253	3063.6006	1916.7443
897	2.2111	80.4655	3078.6431	1773.7104
897.25	2.4477	80.8265	2965.9343	1445.9854
897.5	2.5094	80.8858	2992.2097	1338.3378
897.75	2.5164	85.5043	3163.4395	1328.1274
898	2.5283	81.7103	3352.0112	1368.9407
898.25	2.4721	69.3347	3491.1714	1476.7051
898.5	2.3655	52.5031	3546.6721	1689.1135
898.75	2.4031	51.5295	3599.7273	1735.8467
899	2.4343	57.8401	3617.5776	1841.6721
899.25	2.3721	55.3496	3542.4087	1933.1432
899.5	2.3002	50.6381	3442.9719	1904.0372
899.75	2.2708	47.7718	3382.9087	1881.3325
900	2.3195	46.7746	3375.845	1875.6157
900.25	2.374	48.8471	3375.644	1877.4644
900.5	2.4402	49.584	3469.2949	1849.1277
900.75	2.561	47.9082	3498.407	1839.4073
901	2.6072	48.5928	3851.1865	1833.3179
901.25	2.4761	59.335	4678.5908	1897.1442
901.5	2.3041	68.1615	4434.1782	1932.7694
901.75	2.3197	65.5635	3495.6755	2015.3781
902	2.4264	61.209	2975.5864	1609.8656
902.25	2.3203	61.3945	3038.9358	1371.0798
902.5	2.1273	60.8236	2966.2759	1308.4597
902.75	2.0841	62.2077	2925.9692	1293.5867
903	2.0671	61.9284	2913.3474	1288.7561
903.25	2.0046	59.5299	2912.0762	1323.0015
903.5	1.9379	59.3072	2904.3738	1278.8091
903.75	1.9269	59.3236	2884.0452	1270.2306
904	1.9675	60.1725	2874.7664	1233.8199
904.25	2.0265	65.1723	2887.2307	1228.344
904.5	2.1351	70.4501	2931.2969	1245.3892
904.75	2.3379	72.8922	2992.9521	1267.7964
905	2.5311	81.3671	3067.8003	1341.4657
905.25	2.5574	88.0109	3175.999	1418.4834
905.5	2.5551	88.7332	3334.9707	1511.1064
905.75	2.5111	93.3021	3414.9397	1567.6809
906	2.3665	88.3051	3452.9734	1646.1089
906.25	2.1692	77.5367	3429.4478	1665.6093
906.5	2.0102	69.7528	3317.5237	1627.4404
906.75	1.9055	60.4286	3103.4292	1465.3885
907	1.7662	57.9113	2982.4038	1328.5027
907.25	1.6726	58.6771	2889.9016	1255.6764
907.5	1.7042	58.7518	2813.7769	1200.9337
907.75	1.8343	57.7311	2796.9592	1175.0648
908	1.9838	59.2567	2804.4355	1172.6779
908.25	1.7951	60.5196	2820.8916	1184.9426
908.5	1.6352	61.6247	2825.8391	1202.1478
908.75	1.6166	58.7796	2826.147	1205.691
909	1.6362	53.945	2822.5264	1208.4476
909.25	1.6939	55.2057	2823.0251	1210.2328
909.5	1.6699	56.0881	2820.9055	1207.432
909.75	1.6161	58.8346	2796.0415	1198.4025
910	1.6925	57.5906	2777.292	1186.1675
910.25	1.7333	52.6702	2747.7141	1165.8136
910.5	1.669	49.9175	2716.5576	1150.2876
910.75	1.6884	49.2358	2688.2915	1130.7273
